"IP","MAC","Type"
"192.168.1.10","---","0x9"
"192.168.0.6","00-20-85-c1-63-67","dynamic"
"192.168.0.7","94-57-a5-60-4a-18","dynamic"
"192.168.0.11","68-5b-35-bd-7a-b1","dynamic"
"192.168.0.21","4c-11-bf-b5-02-df","dynamic"
"192.168.0.22","4c-11-bf-b5-02-d8","dynamic"
"192.168.0.23","4c-11-bf-b5-02-eb","dynamic"
"192.168.0.24","e4-f1-4c-6d-9a-58","dynamic"
"192.168.0.25","e4-f1-4c-6d-9a-57","dynamic"
"192.168.0.40","e0-62-90-a3-12-4d","dynamic"
"192.168.0.41","e0-62-90-ba-47-9e","dynamic"
"192.168.0.43","e0-62-90-c5-58-66","dynamic"
"192.168.0.44","e0-62-90-c0-6b-f7","dynamic"
"192.168.0.45","e0-62-90-38-3c-0d","dynamic"
"192.168.0.46","e0-62-90-ce-4e-f0","dynamic"
"192.168.0.47","e0-62-90-28-a9-df","dynamic"
"192.168.0.48","e0-62-90-10-77-3f","dynamic"
"192.168.0.49","e0-62-90-11-84-05","dynamic"
"192.168.0.50","e0-62-90-d8-8c-9c","dynamic"
"192.168.0.51","e0-62-90-73-e8-67","dynamic"
"192.168.0.52","e0-62-90-72-08-7e","dynamic"
"192.168.0.53","e0-62-90-2a-f4-23","dynamic"
"192.168.0.54","e0-62-90-3a-31-58","dynamic"
"192.168.0.55","e0-62-90-fd-3d-f2","dynamic"
"192.168.0.56","e0-62-90-4b-e6-17","dynamic"
"192.168.0.65","4c-11-bf-b5-02-5e","dynamic"
"192.168.0.66","4c-11-bf-b5-02-6d","dynamic"
"192.168.0.69","e0-62-90-17-12-4d","dynamic"
"192.168.0.70","e0-62-90-c1-a5-b8","dynamic"
"192.168.0.71","e0-62-90-77-d2-dd","dynamic"
"192.168.0.72","e0-62-90-59-c3-3d","dynamic"
"192.168.0.73","c0-39-5a-4d-77-af","dynamic"
"192.168.0.74","e0-62-90-f3-a0-c4","dynamic"
"192.168.0.75","e0-62-90-f1-da-56","dynamic"
"192.168.0.76","e0-62-90-fd-bf-3e","dynamic"
"192.168.0.77","e0-62-90-b3-3f-ac","dynamic"
"192.168.0.78","e0-62-90-55-d0-78","dynamic"
"192.168.0.79","e0-62-90-b0-b8-ae","dynamic"
"192.168.0.80","e0-62-90-d9-f9-cf","dynamic"
"192.168.0.81","4c-11-bf-b5-07-89","dynamic"
"192.168.0.82","6c-1c-71-2e-17-38","dynamic"
"192.168.0.83","6c-1c-71-2d-e7-4a","dynamic"
"192.168.0.84","6c-1c-71-2d-e7-01","dynamic"
"192.168.0.85","6c-1c-71-2d-e9-a6","dynamic"
"192.168.0.86","b4-4c-3b-a9-ff-cc","dynamic"
"192.168.0.87","b4-4c-3b-aa-00-35","dynamic"
"192.168.0.90","c0-39-5a-4d-75-61","dynamic"
"192.168.0.114","e4-24-6c-44-74-08","dynamic"
"192.168.0.115","90-02-a9-da-ae-d6","dynamic"
"192.168.0.116","e0-62-90-e5-91-41","dynamic"
"192.168.0.160","30-dd-aa-67-56-d0","dynamic"
"192.168.0.161","30-dd-aa-67-58-5d","dynamic"
"192.168.0.162","30-dd-aa-33-23-7b","dynamic"
"192.168.0.163","30-dd-aa-67-5a-9d","dynamic"
"192.168.0.164","30-dd-aa-67-5b-f5","dynamic"
"192.168.0.165","30-dd-aa-67-5c-22","dynamic"
"192.168.0.166","f8-ce-07-11-86-e2","dynamic"
"192.168.0.167","f8-ce-07-11-88-1d","dynamic"
"192.168.0.168","30-dd-aa-67-5d-72","dynamic"
"192.168.0.169","30-dd-aa-33-23-80","dynamic"
"192.168.0.170","3c-e3-6b-b5-97-df","dynamic"
"192.168.0.171","3c-e3-6b-b5-98-79","dynamic"
"192.168.0.172","30-dd-aa-33-23-72","dynamic"
"192.168.0.173","30-dd-aa-33-23-43","dynamic"
"192.168.0.174","30-dd-aa-67-55-d5","dynamic"
"192.168.0.175","30-dd-aa-67-5d-55","dynamic"
"192.168.0.214","6c-1c-71-e6-47-99","dynamic"
"192.168.0.215","6c-1c-71-aa-b1-15","dynamic"
"192.168.0.216","6c-1c-71-e6-47-e5","dynamic"
"192.168.0.217","6c-1c-71-e6-47-dc","dynamic"
"192.168.0.218","d4-43-0e-9c-80-bb","dynamic"
"192.168.0.219","4c-11-bf-b5-17-8f","dynamic"
"192.168.0.220","14-a7-8b-b0-41-bd","dynamic"
"192.168.0.221","6c-1c-71-63-e0-5a","dynamic"
"192.168.0.222","d4-43-0e-fc-21-bc","dynamic"
"192.168.0.239","3c-52-a1-c1-2a-08","dynamic"
"192.168.0.240","3c-52-a1-c1-59-ac","dynamic"
"192.168.0.241","3c-64-cf-22-52-e8","dynamic"
"192.168.0.242","a0-f3-c1-a5-27-4e","dynamic"
"192.168.0.243","9c-53-22-7f-7b-ec","dynamic"
"192.168.0.244","e4-fa-c4-c6-b4-cc","dynamic"
"192.168.0.246","64-66-b3-83-bb-f0","dynamic"
"192.168.0.250","00-19-ba-0c-db-46","dynamic"
"192.168.0.251","00-19-ba-0c-db-1d","dynamic"
"192.168.1.1","90-ec-77-92-23-48","dynamic"
"192.168.1.2","18-a6-f7-93-19-f9","dynamic"
"192.168.1.3","b0-95-75-e6-f5-17","dynamic"
"192.168.1.4","18-a6-f7-93-19-a7","dynamic"
"192.168.1.5","28-87-ba-f3-a8-5b","dynamic"
"192.168.1.6","18-a6-f7-93-19-54","dynamic"
"192.168.1.15","ba-75-4c-23-98-9b","dynamic"
"192.168.1.16","fc-ed-b9-99-d4-4f","dynamic"
"192.168.1.19","f4-52-46-d7-f3-0a","dynamic"
"192.168.1.23","f4-52-46-d7-f2-c8","dynamic"
"192.168.1.27","00-0d-b9-5e-a1-1c","dynamic"
"192.168.1.29","28-f0-76-2f-45-52","dynamic"
"192.168.1.37","76-eb-67-e2-27-85","dynamic"
"192.168.1.38","48-3f-da-21-cc-1a","dynamic"
"192.168.1.40","00-03-27-03-63-69","dynamic"
"192.168.1.41","de-67-7f-3c-43-e1","dynamic"
"192.168.1.42","18-de-50-af-66-12","dynamic"
"192.168.1.43","0e-f9-fe-a7-61-be","dynamic"
"192.168.1.44","18-de-50-af-5d-80","dynamic"
"192.168.1.52","26-f0-f5-ae-95-69","dynamic"
"192.168.1.67","92-02-bc-b5-38-13","dynamic"
"192.168.1.72","7a-e8-64-62-5f-6a","dynamic"
"192.168.1.73","00-c0-a2-09-f4-4f","dynamic"
"192.168.1.83","d8-9e-f3-9d-95-cc","dynamic"
"192.168.1.86","ba-24-fd-be-73-9d","dynamic"
"192.168.1.99","90-09-d0-2f-6c-5a","dynamic"
"192.168.1.101","10-7c-61-41-46-94","dynamic"
"192.168.1.103","18-31-bf-25-39-8f","dynamic"
"192.168.1.105","10-dd-b1-ea-ac-3e","dynamic"
"192.168.1.109","90-02-a9-a7-2c-e5","dynamic"
"192.168.1.110","90-02-a9-a7-05-5b","dynamic"
"192.168.1.111","20-11-04-07-13-01","dynamic"
"192.168.1.112","90-02-a9-a7-08-66","dynamic"
"192.168.1.113","4c-11-bf-b9-a3-dd","dynamic"
"192.168.1.114","90-02-a9-26-9d-d7","dynamic"
"192.168.1.115","52-54-4c-fb-13-22","dynamic"
"192.168.1.116","52-54-4c-fb-13-20","dynamic"
"192.168.1.117","90-02-a9-be-72-16","dynamic"
"192.168.1.150","00-0a-f6-85-74-3e","dynamic"
"192.168.1.164","00-0e-c4-d3-13-98","dynamic"
"192.168.1.165","f4-4d-30-47-ff-2d","dynamic"
"192.168.1.166","68-aa-d2-15-44-3d","dynamic"
"192.168.1.167","68-aa-d2-15-44-3f","dynamic"
"192.168.1.200","00-04-a3-1f-61-eb","dynamic"
"192.168.1.201","00-04-a3-1f-61-fa","dynamic"
"192.168.1.202","00-04-a3-1f-65-05","dynamic"
"192.168.1.203","00-04-a3-1f-61-f9","dynamic"
"192.168.1.210","30-5a-3a-7e-94-37","dynamic"
"192.168.1.211","bc-ec-a0-33-e8-ea","dynamic"
"192.168.1.212","bc-ec-a0-33-e7-91","dynamic"
"192.168.1.213","68-5b-35-be-da-f2","dynamic"
"192.168.1.214","bc-ec-a0-33-e8-1b","dynamic"
"192.168.1.222","00-0e-c6-8e-55-d5","dynamic"
"192.168.1.226","f4-30-b9-8f-ab-ba","dynamic"
"192.168.1.228","f4-30-b9-8f-ab-3c","dynamic"
"192.168.1.229","00-20-6b-e6-eb-67","dynamic"
"192.168.1.230","bc-ec-a0-33-e6-e1","dynamic"
"192.168.1.231","bc-ec-a0-33-e6-d3","dynamic"
"192.168.1.232","98-29-a6-5e-30-0b","dynamic"
"192.168.1.233","f4-30-b9-8f-ad-14","dynamic"
"192.168.1.234","74-d4-35-87-f7-e6","dynamic"
"192.168.1.235","cc-52-af-44-cf-c3","dynamic"
"192.168.1.237","68-5b-35-bd-7a-b1","dynamic"
"192.168.1.239","fc-4d-d4-39-cc-06","dynamic"
"192.168.1.240","c8-e0-eb-27-bb-1f","dynamic"
"192.168.1.241","a0-36-bc-95-6f-de","dynamic"
"192.168.1.242","00-21-b7-71-2b-a0","dynamic"
"192.168.1.243","00-20-6b-be-85-48","dynamic"
"192.168.1.244","bc-ec-a0-33-e7-c8","dynamic"
"192.168.1.245","bc-ec-a0-33-e8-29","dynamic"
"192.168.1.247","bc-ec-a0-33-e8-75","dynamic"
"192.168.1.248","bc-ec-a0-33-e7-90","dynamic"
"192.168.1.249","bc-ec-a0-33-d8-7c","dynamic"
"192.168.1.250","bc-ec-a0-33-e8-42","dynamic"
"192.168.1.251","f4-30-b9-8f-ab-3a","dynamic"
"192.168.1.253","00-20-6b-b4-d8-c9","dynamic"
"192.168.1.254","00-20-6b-95-b5-6b","dynamic"
"192.168.2.10","c8-d3-ff-bb-97-a3","dynamic"
"192.168.2.11","76-16-be-86-13-0c","dynamic"
"192.168.2.12","00-19-99-e8-73-a8","dynamic"
"192.168.2.15","02-f9-c9-93-97-8c","dynamic"
"192.168.2.20","48-4d-7e-da-07-ba","dynamic"
"192.168.2.21","48-4d-7e-da-07-ba","dynamic"
"192.168.2.22","14-02-ec-33-5a-00","dynamic"
"192.168.2.30","56-b3-d8-40-45-39","dynamic"
"192.168.2.101","52-19-a4-33-80-e2","dynamic"
"192.168.3.255","ff-ff-ff-ff-ff-ff","static"
